gene	chemical	count
COMT	levodopa	176
alpha-synuclein	dopamine	119
dopamine transporter	dopamine	103
MAO-B	levodopa	94
alpha-synuclein	iron	70
MAO-B	dopamine	68
SNCA	MPTP	59
COMT	entacapone	58
DRD2	dopamine	49
COMT	dopamine	48
alpha-synuclein	MPTP	45
COMT	tolcapone	43
alpha-synuclein	lipid	41
dopamine transporter	levodopa	39
alpha-synuclein	rotenone	37
alpha-synuclein	DA	36
dopamine transporter	DA	34
MAO-B	safinamide	32
alpha-synuclein	rotenone	29
MAO-B	selegiline	28
alpha-synuclein	mercury	27
alpha-synuclein	6-OHDA	26
SNCA	dopamine	25
alpha-synuclein	6-OHDA	25
BDNF	1,25(OH)2D3	24
alpha-synuclein	dopamine	24
alpha-synuclein	lipids	23
SNCA	DA	23
dopamine transporter	beta-CIT	23
alpha-synuclein	metal	22
alpha-synuclein	serine	22
alpha-synuclein	levodopa	21
GDNF	6-OHDA	19
GDNF	DA	19
dopamine transporter	L-DOPA	18
MAO-B	MPTP	18
SNCA	PQ	17
COMT	L-DOPA	17
COMT	Levodopa	17
FOG	levodopa	16
COMT	carbidopa	16
COMT	Entacapone	16
COMT	L-Dopa	16
alpha-synuclein	DA	16
GDNF	dopamine	16
GDNF	dopamine	16
SNCA	iron	15
MAO-B	iron	15
tyrosine hydroxylase	dopamine	15
DRD2	levodopa	15
tau	digoxin	14
GBA	uric acid	14
MAO-B	L-DOPA	14
AKT	MPTP	14
LRRK2	dopamine	13
dopamine transporter	FP-CIT	13
COMT	apomorphine	13
DRD2	pramipexole	13
alpha-synuclein	calcium	12
alpha-synuclein	L-DOPA	12
alpha-synuclein	lactate	12
alpha-synuclein	oxygen	12
LRRK2	calcium	12
dopamine transporter	MPTP	12
dopamine transporter	water	12
PINK1	PQ	12
GBA	glucosylceramide	12
MAO-B	amantadine	12
MAO-B	Levodopa	12
COMT	iron	12
alpha-synuclein	ROS	11
alpha-synuclein	tyrosine	11
SNCA	rotenone	11
tau	MPTP	11
PINK1	calcium	11
GBA	ambroxol	11
GBA	lipid	11
MAO-B	rasagiline	11
alpha-beta	raloxifene	11
tyrosine hydroxylase	rotenone	11
AKT	lactate	11
alpha-synuclein	cholesterol	10
LRRK2	uric acid	10
SNCA	DMTHB	10
dopamine transporter	FDOPA	10
dopamine transporter	pergolide	10
dopamine transporter	pramipexole	10
COMT	amantadine	10
COMT	Hcy	10
TNF-alpha	MPP+	10
Nrf2	6-OHDA	10
Nrf2	Ramelteon	10
alpha-synuclein	6-hydroxydopamine	9
alpha-synuclein	mannitol	9
SNCA	6-OHDA	9
dopamine transporter	uric acid	9
PINK1	DA	9
PINK1	ghrelin	9
PINK1	levodopa	9
GBA	dopamine	9
MAO-B	Safinamide	9
COMT	L-dopa	9
alpha-synuclein	NAR	9
tyrosine hydroxylase	6-OHDA	9
alpha-synuclein	ATP	8
alpha-synuclein	Cu	8
alpha-synuclein	Dopamine	8
alpha-synuclein	glutamate	8
alpha-synuclein	Iron	8
alpha-synuclein	Neu5ac	8
alpha-synuclein	reactive oxygen species	8
alpha-synuclein	Rotenone	8
SNCA	chloroquine	8
dopamine transporter	18F-FDG	8
dopamine transporter	CFT	8
dopamine transporter	resveratrol	8
DJ1	levodopa	8
MAO-B	lazabemide	8
alpha-synuclein	noscapine	8
GDNF	6-hydroxydopamine	8
tyrosine hydroxylase	DA	8
Nrf2	ACDT	8
Nrf2	GSH	8
Nrf2	resveratrol	8
AKT	propionate	8
AKT	vildagliptin	8
VPS35	levodopa	8
DRD2	apomorphine	8
DRD2	cabergoline	8
DRD2	Pramipexole	8
Syn	Neu5ac	8
alpha-synuclein	Ca2+	7
alpha-synuclein	copper	7
alpha-synuclein	DMC	7
alpha-synuclein	MPP+	7
alpha-synuclein	norepinephrine	7
LRRK2	6-OHDA	7
LRRK2	glucose	7
LRRK2	hydrogen	7
LRRK2	levodopa	7
SNCA	Ca2+	7
SNCA	PFF	7
SNCA	piperine	7
SNCA	ROS	7
FOG	HoloLens	7
PINK1	6-OHDA	7
PINK1	iron	7
DJ1	6-OHDA	7
MAO-B	baicalein	7
MAO-B	DA	7
MAO-B	deprenyl	7
COMT	folate	7
COMT	vitamin B12	7
alpha-synuclein	6-hydroxydopamine	7
alpha-synuclein	Val	7
GDNF	amphetamine	7
DRD2	11C	7
DRD2	ropinirole	7
alpha-synuclein	Brazilin	6
alpha-synuclein	doxycycline	6
alpha-synuclein	GlcCer	6
alpha-synuclein	metformin	6
alpha-synuclein	NAb-alpha-Syn	6
alpha-synuclein	PQQ	6
alpha-synuclein	queuine	6
alpha-synuclein	sirolimus	6
LRRK2	rotenone	6
SNCA	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	6
SNCA	lycorine	6
SNCA	perampanel	6
tau	aluminium	6
tau	peptides	6
tau	queuine	6
tau	rasagiline	6
dopamine transporter	123I-ioflupane	6
dopamine transporter	18F-FP-CIT	6
dopamine transporter	iron	6
dopamine transporter	MIBG	6
PINK1	GlcCer	6
GBA	Ambroxol	6
GBA	GlcCer	6
GBA	lipids	6
MAO-B	Dopamine	6
MAO-B	naringenin	6
MAO-B	Selegiline	6
COMT	Dopamine	6
COMT	LECIG	6
COMT	opicapone	6
PRKN	dopamine	6
PRKN	H2O2	6
PRKN	levodopa	6
LRRK2	rotenone	6
alpha-synuclein	adenosine	6
alpha-synuclein	CPA	6
alpha-synuclein	LPS	6
alpha-synuclein	PQ	6
alpha-synuclein	ROS	6
alpha-synuclein	serine	6
alpha-beta	Brazilin	6
tyrosine hydroxylase	LPS	6
AKT	MPP+	6
VPS35	dopamine	6
Syn	dopamine	6
alpha-synuclein	anthocyanin	5
alpha-synuclein	calycosin	5
alpha-synuclein	chloroquine	5
alpha-synuclein	EA	5
alpha-synuclein	Fe	5
alpha-synuclein	hesperidin	5
alpha-synuclein	LPS	5
alpha-synuclein	Mercury	5
