"Var1"	"Freq"
"3293"	"PD"	3870
"496"	"dementia"	275       
"1324"	"Parkinson disease"	198
"1137"	"neurodegeneration"	194      
"23"	"AD"	174    



"1357"	"parkinsonism"	168
"1149"	"neurodegenerative diseases"	147
"3506"	"toxicity"	100
"1155"	"neurodegenerative disorders"	85
"262"	"atrophy"	80
"3515"	"tremor"	80
"1317"	"Parkinson"	76
"3476"	"synucleinopathies"	74
"1147"	"neurodegenerative disease"	69
"1152"	"neurodegenerative disorder"	63
"417"	"cognitive impairment"	62
"1061"	"mitochondrial dysfunction"	61
"3480"	"synucleinopathy"	59
"467"	"death"	56
"1263"	"neurotoxicity"	56
"912"	"inflammation"	55
"3360"	"PSP"	54
"752"	"glucocerebrosidase"	51
"953"	"LBD"	49
"1343"	"parkinsonian"	48
"1321"	"Parkinson and Movement Disorder"	47
"735"	"GD"	46
"1217"	"neuronal death"	42
"1325"	"Parkinson Disease"	42
"1228"	"neuronal loss"	41
"726"	"Gaucher disease"	36
"3304"	"PDD"	36
"513"	"depression"	35
"3451"	"stress"	32
"1136"	"neuroblastoma"	31
"734"	"GCase"	30
"3471"	"supranuclear palsy"	30
"325"	"bradykinesia"	28
"402"	"cognitive decline"	28
"1259"	"neurotoxic"	27
"3393"	"rigidity"	27
"976"	"Lewy body disease"	26
"559"	"dyskinesia"	25
"1098"	"Movement Disorders"	25
"60"	"Alzheimer disease"	23
"497"	"Dementia"	23
"231"	"anxiety"	22
"485"	"degeneration"	22
"561"	"dyskinesias"	22
"1358"	"Parkinsonism"	22
"3340"	"progressive supranuclear palsy"	22
"3373"	"RBD"	22
"235"	"apathy"	21
"348"	"cancer"	21
"685"	"fibrillation"	20
"1097"	"movement disorders"	20
"54"	"ALS"	19
"680"	"fatigue"	19
"929"	"iPD"	19
"1096"	"movement disorder"	19
"412"	"cognitive dysfunction"	18
"437"	"constipation"	18
"459"	"cytotoxicity"	18
"549"	"dysbiosis"	18
"932"	"iRBD"	17
"1218"	"neuronal degeneration"	16
"55"	"Alzheimer"	15
"219"	"amyotrophic lateral sclerosis"	15
"567"	"dystonia"	15
"1023"	"lysosomal dysfunction"	15
"1083"	"motor dysfunction"	14
"3490"	"tauopathies"	14
"615"	"eye movement sleep behavior disorder"	13
"1200"	"neurological disorders"	13
"1294"	"OD"	13
"1370"	"parkinsonisms"	13
"3477"	"Synucleinopathies"	13
"1105"	"MSA"	12
"1353"	"parkinsonian syndromes"	12
"3494"	"tauopathy"	12
"440"	"COPD"	11
"977"	"Lewy body diseases"	11
"275"	"autonomic dysfunction"	10
"443"	"corticobasal degeneration"	10
"775"	"HD"	10
"972"	"Lewy body dementia"	10
"1062"	"Mitochondrial dysfunction"	10
"3357"	"PS"	10
"1123"	"NAD"	9
"1198"	"neurological diseases"	9
"31"	"akinesia"	8
"42"	"alpha-synucleinopathy"	8
"358"	"CBD"	8
"499"	"dementia and parkinsonism"	8
"525"	"diabetic"	8
"573"	"dystrophic neurites"	8
"590"	"EP"	8
"753"	"Glucocerebrosidase"	8
"930"	"IPD"	8
"3401"	"SE"	8
"3540"	"VaP"	8
"3550"	"VHs"	8
"232"	"Anxiety"	7
"237"	"APDs"	7
"247"	"ARPD"	7
"263"	"Atrophy"	7
"401"	"cognitive change"	7
"444"	"cough"	7
"619"	"falling"	7
"743"	"GIF"	7
"831"	"hyposmia"	7
"907"	"infection"	7
"979"	"Lewy body disorders"	7
"1076"	"motor deficits"	7
"1112"	"multiple system atrophy"	7
"1138"	"Neurodegeneration"	7
"1197"	"neurological disease"	7
"1216"	"neuronal damage"	7
"1285"	"NPC"	7
"1345"	"parkinsonian disorders"	7
"3362"	"psychiatric"	7
"3366"	"psychosis"	7
"3396"	"SCA3"	7
"3496"	"TD"	7
"276"	"autonomic failure"	6
"292"	"autosomal recessive parkinsonism"	6
"313"	"behavioral deficits"	6
"408"	"cognitive deficits"	6
"446"	"COVID-19"	6
"544"	"DRPLA"	6
"624"	"familial Alzheimer disease"	6
"887"	"idiopathic REM sleep behaviour disorder"	6
"914"	"inflammatory bowel disease"	6
"927"	"intracerebral"	6
"1017"	"LUAD"	6
"1172"	"neurodegenerative synucleinopathy diseases"	6
"1302"	"orthostatic hypotension"	6
"1344"	"Parkinsonian"	6
"3510"	"tPD"	6
"53"	"ALPS"	5
"345"	"breathy voice"	5
"428"	"colonic"	5
"472"	"deficiency"	5
"523"	"diabetes"	5
"548"	"dysautonomia"	5
"692"	"fPD"	5
"722"	"gastrointestinal symptoms"	5
"736"	"GD1"	5
"832"	"Hyposmia"	5
"885"	"idiopathic REM sleep behavior disorder"	5
"955"	"LBs"	5
"1025"	"lysosomal storage disorder"	5
"1045"	"mesencephalic"	5
"1127"	"necrosis"	5
"1150"	"Neurodegenerative diseases"	5
"1166"	"neurodegenerative parkinsonism"	5
"1225"	"neuronal dysfunction"	5
"1336"	"Parkinson s disease"	5
"1338"	"Parkinson syndrome"	5
"3305"	"PDidiopathic"	5
"3347"	"protein aggregation"	5
"3351"	"proteinopathy"	5
"3381"	"REM sleep behavior disorder"	5
"3431"	"sPD"	5
"3507"	"Toxicity"	5
"3543"	"vascular parkinsonism"	5
"3552"	"visual hallucinations"	5
"25"	"ADHD"	4
"50"	"alphaSyn aggregation"	4
"52"	"alphaSynPD"	4
"228"	"anomaly"	4
"244"	"argyrophilia"	4
"253"	"aSN"	4
"318"	"beta-gal"	4
"386"	"cilia loss"	4
"514"	"Depression"	4
"517"	"depressive symptoms"	4
"527"	"diffuse Lewy body disease"	4
"542"	"DRD"	4
"554"	"dysfunctional"	4
"556"	"dysfunctional mitochondria"	4
"558"	"dyshomeostasis"	4
"591"	"epilepsy"	4
"598"	"essential tremor"	4
"681"	"Fatigue"	4
"707"	"gait disorder"	4
"709"	"gait disturbance"	4
"727"	"Gaucher Disease"	4
"733"	"Gcase"	4
"744"	"glaucoma"	4
"765"	"hallmark of Parkinson disease"	4
"815"	"hyperactivity"	4
"838"	"hypothalamus"	4
"844"	"ICD"	4
"897"	"impairments"	4
"913"	"Inflammation"	4
"941"	"isolated RBD"	4
"965"	"Lewy bodies"	4
"1015"	"LRRK2-PD"	4
"1070"	"MND"	4
"1087"	"motor impairments"	4
"1124"	"ND"	4
"1181"	"neuroinflammation"	4
"1206"	"neuron degeneration"	4
"1269"	"nigrostriatal degeneration"	4
"1333"	"Parkinson Movement Disorder"	4
"3302"	"PD neurotoxins"	4
"3430"	"spastic dysarthria"	4
"3452"	"Stress"	4
"3457"	"stroke"	4
"3516"	"Tremor"	4
"3523"	"tremors"	4
"3525"	"tumor"	4
"3538"	"urinary dysfunction"	4
"3563"	"white matter damage"	4
